,url,price,promotional_price
0,https://www.coolblue.be/nl/product/819196/gopro-hero-7-black.html,429,379
3,https://www.coolblue.be/nl/product/823571/dji-osmo-pocket.html,359,
4,https://www.coolblue.be/nl/product/808531/gopro-hero.html,219,189
6,https://www.coolblue.be/nl/product/819199/gopro-hero-7-white.html,219,
7,https://www.coolblue.be/nl/product/808686/nikkei-extreme-x6s.html,99,"74,99"
9,https://www.coolblue.be/nl/product/808724/nikkei-extreme-x8s.html,119,
11,https://www.coolblue.be/nl/product/819197/gopro-hero-7-silver.html,329,
12,https://www.coolblue.be/nl/product/722849/olympus-tough-tg-tracker-zwart.html,189,
13,https://www.coolblue.be/nl/product/788456/salora-ace500.html,"69,95",59
14,https://www.coolblue.be/nl/product/739850/nikon-keymission-170.html,219,
15,https://www.coolblue.be/nl/product/722873/olympus-tough-tg-tracker-groen.html,209,189
16,https://www.coolblue.be/nl/product/732503/sony-fdr-x3000r.html,449,
17,https://www.coolblue.be/nl/product/824446/salora-acp750.html,99,
18,https://www.coolblue.be/nl/product/717445/nikkei-extreme-x6.html,75,
19,https://www.coolblue.be/nl/product/781226/salora-ace700.html,99,69
20,https://www.coolblue.be/nl/product/755930/nikkei-extreme-x2.html,"37,99",
21,https://www.coolblue.be/nl/product/824445/salora-acp550.html,77,
22,https://www.coolblue.be/nl/product/808280/nikkei-extreme-x4s.html,69,
23,https://www.coolblue.be/nl/product/717358/nikkei-extreme-x4.html,49,
24,https://www.coolblue.be/nl/product/697724/sony-hdr-as50.html,149,
25,https://www.coolblue.be/nl/product/781242/salora-ace900.html,139,89
26,https://www.coolblue.be/nl/product/656371/vtech-kidizoom-action-cam.html,59,49
27,https://www.coolblue.be/nl/videocameras/action-cameras/nl/tweedekans-product/659475,429,349
29,https://www.coolblue.be/nl/videocameras/action-cameras/nl/tweedekans-product/604700,"38,99",23
